IndividualID,IndividualDegree,IndividualBetweenness,SumDistance,ExperimentID,ColonyID,NumberWorkers
729,9,14.43046953,162879.8736,Networks-6-1-1,11,28
419,12,33.31888667,26559.46822,Networks-6-1-1,11,28
632,7,11.28719059,160642.8091,Networks-6-1-1,11,28
539,12,49.22766678,32858.13392,Networks-6-1-1,11,28
598,7,11.59134199,20850.9597,Networks-6-1-1,11,28
3116,7,6.943722944,21877.40884,Networks-6-1-1,11,28
423,11,19.06819292,28246.56134,Networks-6-1-1,11,28
2847,8,17.46587302,61248.5451,Networks-6-1-1,11,28
570,7,16.01502942,43650.57747,Networks-6-1-1,11,28
449,9,10.6468254,134192.3467,Networks-6-1-1,11,28
542,7,5.885592186,29581.913,Networks-6-1-1,11,28
594,6,13.34267399,67705.93701,Networks-6-1-1,11,28
756,5,2.788888889,62599.33047,Networks-6-1-1,11,28
16,5,2.370634921,315483.0355,Networks-6-1-1,11,28
666,8,10.68247863,35402.73009,Networks-6-1-1,11,28
630,7,7.241341991,225221.5834,Networks-6-1-1,11,28
453,2,0,128260.5397,Networks-6-1-1,11,28
605,7,9.280591631,263187.3629,Networks-6-1-1,11,28
822,3,1.271367521,27820.96637,Networks-6-1-1,11,28
765,5,2.1004329,281277.8161,Networks-6-1-1,11,28
418,6,9.933333333,132243.5783,Networks-6-1-1,11,28
428,5,2.943589744,35503.923,Networks-6-1-1,11,28
703,8,9.104040404,284946.2778,Networks-6-1-1,11,28
795,3,1.070512821,112160.1594,Networks-6-1-1,11,28
543,4,2.674242424,274427.9646,Networks-6-1-1,11,28
702,4,3.315079365,167876.1072,Networks-6-1-1,11,28
636,5,9.4,28121.77742,Networks-6-1-2,12,15
819,4,2.15,31138.2492,Networks-6-1-2,12,15
822,6,10.35,125271.1589,Networks-6-1-2,12,15
633,2,0.583333333,174016.694,Networks-6-1-2,12,15
480,5,6.133333333,67997.56486,Networks-6-1-2,12,15
600,4,4.833333333,243171.9795,Networks-6-1-2,12,15
604,2,2,71531.17803,Networks-6-1-2,12,15
797,4,2.15,25447.63016,Networks-6-1-2,12,15
722,4,2.25,77799.87768,Networks-6-1-2,12,15
758,2,2.25,931470.6442,Networks-6-1-2,12,15
459,4,9.65,395346.9935,Networks-6-1-2,12,15
463,4,2.25,337776.5601,Networks-6-1-2,12,15
560,14,29.10136705,44025.24566,Networks-6-2-1,18,28
703,9,22.38621554,134371.8281,Networks-6-2-1,18,28
819,10,14.13665224,26845.52087,Networks-6-2-1,18,28
459,15,40.72322283,72181.45445,Networks-6-2-1,18,28
600,3,0.805555556,143304.4409,Networks-6-2-1,18,28
570,9,5.615037594,34435.83747,Networks-6-2-1,18,28
423,11,26.75803524,25346.42058,Networks-6-2-1,18,28
604,9,12.57416268,29440.78075,Networks-6-2-1,18,28
758,7,11.21038961,132496.0715,Networks-6-2-1,18,28
598,7,10.85327903,48762.04014,Networks-6-2-1,18,28
449,5,2.580952381,42207.52859,Networks-6-2-1,18,28
605,7,5.272362725,87125.01013,Networks-6-2-1,18,28
532,9,15.2458115,78703.26806,Networks-6-2-1,18,28
630,6,3.04397357,181016.5941,Networks-6-2-1,18,28
795,8,6.16991342,54010.91497,Networks-6-2-1,18,28
539,4,2.181419458,42882.70617,Networks-6-2-1,18,28
463,8,18.02203995,67983.96278,Networks-6-2-1,18,28
542,8,5.740400243,26322.29355,Networks-6-2-1,18,28
418,2,0,160840.6676,Networks-6-2-1,18,28
765,4,2.846428571,199365.884,Networks-6-2-1,18,28
594,8,4.090400243,168314.0338,Networks-6-2-1,18,28
75,6,4.349242424,48772.76989,Networks-6-2-1,18,28
3843,5,5.437554113,116644.7344,Networks-6-2-1,18,28
16,8,7.1208096,589555.0983,Networks-6-2-1,18,28
495,4,1.527667654,58140.65803,Networks-6-2-1,18,28
822,10,14.96042569,128675.348,Networks-6-2-1,18,28
633,8,8.246681097,73961.36676,Networks-6-2-1,18,28
458,9,30.69518815,232331.3836,Networks-6-3-1,21,27
829,4,3.335714286,73386.01664,Networks-6-3-1,21,27
852,8,23.17142857,46953.8819,Networks-6-3-1,21,27
